=====================
0xF4F4F4 0xD2D3D4 0x5F6167 0x4B4F56 0x585C63 0x7E8087 0xD8D8DA 0xEDEEEE 0xC2C3C5 0x3E414A 0x454A55 0x525863 0x51555E
0xF5F5F5 0xCACBCD 0x404349 0x393E47 0x4A505A 0x6B6F79 0xD3D4D6 0xF1F1F1 0xC7C8CA 0x3B3E45 0x3A404B 0x454C58 0x464C57
0xF4F4F5 0xC7C8CA 0x33373D 0x353B46 0x49515D 0x646B75 0xD1D3D5 0xF2F2F2 0xC9CACB 0x393C42 0x373D48 0x434A57 0x474E5A
0xF4F4F4 0xC6C7C9 0x33363C 0x383E49 0x4D5461 0x656C76 0xD1D3D6 0xF2F2F2 0xC9C9CB 0x393B42 0x373E48 0x444C59 0x49505D
0xF4F4F4 0xC6C7CA 0x34373E 0x39404B 0x4D5663 0x666D78 0xD1D3D6 0xF2F2F2 0xC8C9CA 0x383C43 0x383F4B 0x454D5C 0x495260
0xF3F3F4 0xC7C7CA 0x34373E 0x39404B 0x4E5763 0x676E79 0xD1D3D6 0xF1F1F1 0xC8C9CA 0x383C43 0x383F4B 0x454E5C 0x4A5260
0xF3F3F4 0xC6C7C9 0x34373D 0x393F4A 0x4E5662 0x676D78 0xD1D3D5 0xF1F1F1 0xC8C9CA 0x383C42 0x383F4A 0x464E5B 0x4A525F
0xF3F3F4 0xC6C7C9 0x33363D 0x383E49 0x4D5461 0x656C77 0xD1D2D5 0xF1F1F1 0xC8C9CA 0x383B42 0x373E48 0x444C59 0x49515D
0xF3F3F4 0xC6C7C9 0x33373E 0x383F4B 0x4D5563 0x666C78 0xD1D2D5 0xF1F1F1 0xC8C9CA 0x383C42 0x373E4A 0x454D5B 0x49515F
0xF3F3F4 0xC6C7C9 0x33373E 0x39404C 0x4E5664 0x666D79 0xD1D2D5 0xF1F1F1 0xC8C9CA 0x383C43 0x383F4B 0x454E5C 0x4A5260
0xF3F3F3 0xC6C6C9 0x33373D 0x39404A 0x4F5663 0x676D78 0xD1D2D5 0xF1F1F1 0xC8C9CA 0x383C42 0x393F4A 0x464E5B 0x4B515F
0xF3F3F3 0xC5C6C8 0x32363D 0x383F49 0x4D5561 0x666C77 0xD1D2D5 0xF1F1F1 0xC8C9CA 0x383B42 0x383E49 0x454C5A 0x49505E
